Word,Meaning 
सक्रिय,Active
आकर्षक,Attractive
गंजा,Bald
सुंदर,Beautiful
बड़ा,Big
बोरिंग,Boring
बहादुर,Brave
चालाक,Clever
ठंडा,Cold
कायर,Coward
अंधेरा,Dark
सुस्त,Dull
बड़ा,Elder
निष्पक्ष,Fair (Just)
मोटा,Fat
कमजोर,Feeble
दुरुस्त,Fit
मजाकिया,Funny
सुंदर,Handsome
उच्च,High
गरम,Hot
आंतरिक,Inner
बुद्धिमान,Intelligent
जोरदार,Loud
निम्न,Low
मध्यम,Medium
नया,New
पुराना,Old
बाहरी,Outer
सुंदर,Pretty
नाटा,Short
छरहरा,Slim
छोटा,Small
स्मार्ट,Smart
मज़बूत,Strong
मीठा,Sweet
लंबा,Tall
गाढ़ा,Thick
पतला,Thin
छोटा,Younger
रास्ता,Aisle
आगमन,Arrival
सामान,Baggage
बैगेज क्लेम,Baggage Claim
बोर्डिंग पास,Boarding Pass
कक्ष,Cabin
कैर्री ओन,Carry-On Bag
नागरिक,Citizen
कन्वेयर बेल्ट,Conveyor Belt
सीमाशुल्क,Customs
प्रस्थान,Departure
उड़ान,Flight
उड़ान सहायक	,Flight Attendant
गेट	,Gate
अप्रवास,Immigration
लाउन्ज,Lounge
पासपोर्ट,Passport
विमानचालक,Pilot
कुली,Porter
झुकना,Recline
सीट	,Seat
सुरक्षा गार्ड	,Security Guard
सूटकेस,Suitcase
टिकट,Ticket
ट्रे टेबल,Tray Table
ट्राली,Trolley
वीज़ा,Visa
प्रतीक्षालय	,Waiting Area
स्नानघर	,Bathroom
गलियारा	,Corridor
भोजन - कक्ष	,Dining-Room
दरवाजा,Door
रसोईघर,Kitchen
बैठक का कमरा,Living Room
लॉबी,Lobby
कमरा,Room
सीढ़ियाँ,Stairs
खिड़की,Window
बार	,Bar
बीच	,Beach
कॉफ़ी,Coffee
डेट	,Date (Wrt Dating)
डेटिंग,Dating
पीना,Drink
सुंदर,Handsome
गले लगाना,Hug
मैं तुमसे प्यार करता हूँ,I Love You
चुंबन,Kiss
नहीं धन्यवाद,No Thanks
सुंदर,Pretty
रेस्टोरेंट,Restaurant
जल्द ही मिलते हैं!,See You Soon!
अकेला,Single
ज़रूर,Sure!
धन्यवाद	,Thank You
आज रात	,Tonight
दुर्घटना,Accident
एलर्जी,Allergy
खून,Blood
चिकित्सक,Doctor
दिल का दौरा,Heart Attack
अस्पताल	,Hospital
चोट	,Hurt
मुझे चोट लगी है	,I Am Hurt
मैं बीमार हूँ,I Am Sick
दवा,Medicine
नर्स,Nurse
आपरेशन,Operation
दर्द,Pain
दवा की दुकान,Pharmacy
नुस्खा,Prescription
सर्जरी,Surgery
शराब,Alcohol
बार	,Bar
शौचालय,Bathroom
बियर,Beer
बॉटम्स उप!,Bottoms Up!
कुर्सी,Chair
चियर्स!,Cheers!
ठंडा,Chilled
कॉकटेल,Cocktail
ठंडा,Cold
क्रेडिट कार्ड,Credit Card
जिन	,Gin
ग्लास	,Glass (To Hold The Drink)
कितने का?	,How Much?
बर्फ,Ice
पहचान कार्ड	,Identity Card
रस	,Juice
नींबू,Lemon
स्थानीय ड्रिंक,Local Drink
जोरदार,Loud
मार्गरिटा,Margarita
मेनू,Menu
मिनरल वॉटर,Mineral Water
मौकटेल,Mocktail
संगीत,Music
नैपकिन,Napkin
थाली,Plate
कीमत,Price
रेड वाइन,Red Wine
दोहराना	,Repeat
रम,Rum
सांग्रिया,Sangria
शॉट	,Shots
सिंगल माल्ट	,Single Malt
नाश्ता,Snacks
सोडा,Soda
मिलाना,Stir
स्टूल,Stool
स्ट्रॉ,Straw
टेबल,Table
टकीला,Tequila
टिप	,Tip
टॉनिक,Tonic
वोडका,Vodka
वेटर,Waiter
पानी,Water
व्हिस्की,Whisky
व्हाइट वाइन	,White Wine
वाइन,Wine
पीठ	,Back
छाती,Chest
कान	,Ear
कोहनी,Elbow
आंखें,Eyes
चेहरा,Face
पैर	,Feet
उँगलियाँ,Fingers
पांव,Foot
हाथ	,Hands
नितंब,Hip
घुटना,Knee
पैर	,Legs
मुंह,Mouth
नाक	,Nose
पेट	,Stomach
विज्ञापन,Advertising
नियुक्ति,Appointment
सहायक,Assistant
निदेशक बोर्ड,Board Of Directors
मालिक,Boss
ब्रोशर,Brochure
कक्ष,Cabin
कैलेंडर,Calendar
सीईओ,Ceo
कांफ्रेंस कॉल,Conference Call
कॉन्ट्रैक्ट	,Contract
खाते में जमा रकम,Credit
सौदा,Deal
देरी,Delay
विभाग,Department
डेस्क,Desk
निर्देशक,Director
छूट	,Discount
ई मेल,E-Mail
विनिमय दर,Exchange Rate
वित्त,Finance
किस्त,Installment
ब्याज दर,Interest Rate
चालान,Invoice
लैपटॉप,Laptop
मैनेजर,Manager
मार्केटिंग,Marketing
मीटिंग,Meeting
मोबाइल फ़ोन	,MobilePhone
बातचीत,Negotiation
कार्यालय,Office
आदेश,Order
भुगतान,Payment
प्रेजेंटेशन	,Presentation
प्रस्ताव,Proposal
रिसेप्शन,Reception
रिसेप्शनिस्ट,Receptionist
नमूना,Sample
सेक्रेटरी,Secretary
शेयरहोल्डर,Shareholder
हस्ताक्षर,Signature
पर्यवेक्षक,Supervisor
टेलीफोन नंबर,Telephone Number
शर्तें	,Terms
समय	,Time
काला,Black
नील,Blue
भूरा,Brown
सुनहरा,Golden
स्लेटी,Gray
हरा,Green
नारंगी,Orange
गुलाबी,Pink
बैंगनी,Purple
लाल,Red
केसर,Saffron
चांदी,Silver
बैंगनी,Violet
सफ़ेद,White
पीला,Yellow
सोमवार,Monday
मंगलवार	,Tuesday
बुधवार	,Wednesday
बृहस्पतिवार	,Thursday
शुक्रवार,Friday
शनिवार,Saturday
रविवार,Sunday
पूर्व,East
पश्चिम,West
उत्तर,North
दक्षिण,South
यहां,Here
वहाँ,There
दाएँ,Right
बाएं,Left
चारों ओर,Around
मोड़,Turn
दुर्घटना,Accident
एलर्जी,Allergy
खून,Blood
कांसुलेट,Consulate
चिकित्सक,Doctor
दूतावास	,Embassy
आग,Fire
फायर अलार्म	,Fire Alarm
फायर स्टेशन	,Fire Station
मदद करो!,Help!
अस्पताल,Hospital
खोया,Lost
फार्मेसी,Pharmacy
पुलिस स्टेशन,Police Station
डकैती,Robbery
क्या तुम मुझसे प्यार करते हो?,Do You Love Me?
मैं प्यार में हूं,I Am In Love
मैं तुमसे प्यार करता हूँ,I Love You
मुझे आपकी याद आती है,I Miss You
तुम मुझसे शादी करोगी?,Will You Marry Me?
आप सुंदर हैं,You Are Beautiful
समय,Time
सेकंड,Second
मिनट,Minute
घंटा,Hour
दिन,Day
तारीख,Date
माह,Month
वर्ष,Year
आज,Today
कल,Tomorrow
कल,Yesterday
परसों,Day After Tomorrow
कल के पहले दिन,Day Before Yesterday
सुबह,Morning
बारह बजे,Noon
दोपहर,Afternoon
शाम,Evening
रात,Night
अए. एम.,A.M.
पी. एम.	,P.M.
शीघ्र	,Early
देर से	,Late
मिड - डे,Mid-Day
आधी रात	,Midnight
अब,Now
जल्दी,Soon
बाद में,Later
पिछला,Previous
अगला,Next
मां	,Mother
पिता,Father
बेटी,Daughter
बेटा,Son
पत्नी,Wife
पति	,Husband
दीदी ( बड़ी ),Sister (Elder)
बहन	,Sister (Younger)
भैया,Brother (Elder)
छोटा भाई,Brother (Younger)
दादी,Grandmother (Father'S Mother)
दादा,Grandfather (Father'S Father)
दादा - दादी,Grandparents (Father'S Side)
नाना-नानी,Grandparents (Mother'S Side)
नानी,Grandmother (Mother'S Mother)
नाना,Grandfather (Mother'S Father)
पोती,Granddaughter (Son'S Daughter)
पोता,Grandson (Son'S Son)
पोते - पोतियों,Grandchildren
दोहती,Granddaughter (Daughter'S Daughter)
दोहता,Grandson (Daughter'S Son)
सास	,Mother-In-Law (Husband'S Mother)
ससुर,Father-In-Law (Husband'S Father)
सास	,Mother-In-Law (Wife'S Mother)
ससुर,Father-In-Law (Wife'S Father)
भाभी,Sister-In-Law
जेठ,Brother-In-Law
कज़िन भाई,Cousin (Male)
कज़िन बहन,Cousin (Female)
चाची,Aunt
चाचा,Uncle
भतीजा,Nephew
भतीजी,Niece
मित्र,Friend (Male)
मित्र,Friend (Female)
प्रेमिका,Girlfriend
प्रेमी,Boyfriend
क्रोध,Anger
क्रोधित,Angry
डर,Fear
ख़ुशी,Happiness
खुश	,Happy
नफरत,Hate
पसंद करना,Like
प्यार,Love
दर्द,Pain
सम्मान,Respect
दुखी,Sad
भयभीत,Scared
झटका,Shock
शर्मीला,Shy
आश्चर्य,Surprise
परेशान,Upset
फलियां,Beans
रोटी,Bread
मक्खन,Butter
अनाज,Cereal
पनीर,Cheese
चिकन,Chicken
तीखा,Chilly
चिप्स,Chips
कॉफ़ी,Coffee
मिठाई,Dessert
अंडे,Eggs
लहसुन,Garlic
हैमबर्गर,Hamburger
आइसक्रीम,Ice Cream
रस,Juice
सलाद पत्ता,Lettuce
मांस,Meat
दूध	,Milk
मिनरल वॉटर,Mineral Water
मांसाहरी,Non Vegetarian
नूडल्स	,Noodles
नट्स,Nuts
जैतून,Olives
आमलेट,Omelette
प्याज,Onion
काली मिर्च,Pepper (Spice)
सूअर का मांस,Pork
आलू	,Potatoes
लाल मिर्च,Red Pepper
चावल,Rice
सलाद,Salad
नमक	,Salt
सीफ़ूड,Sea Food
झींगा,Shrimp
सूप	,Soup
मसाला,Spice
चाय	,Tea
सब्जियां,Vegetables
शाकाहारी,Vegetarian
पानी,Water
दही	,Yoghurt
सेब,Apple
केला,Banana
चेरी,Cherry
नारियल,Coconut
अंगूर,Grapes
अमरूद,Guava
कीवी,Kiwi
आम,Mango
तरबूज,Melon
आड़ू,Peach
नाशपाती,Pear
आलूबुख़ारे,Plum
तरबूज,Water Melon
बंहदार कुरसी,Armchair
बिस्तर,Bed
कुर्सी,Chair
