word,Meaning
என,as
நான்,I
அவரது,his
என்று,that
அவர்,he
இருந்தது,was
ஐந்து,five
ம்,on
உள்ளன,are
உடன்,with
அவை,they
இருக்கும்,be
மணிக்கு,at
ஒரு,one
வேண்டும்,have
இந்த,this
இருந்து,from
மூலம்,by
சூடான,hot
விக்சனரி,word
ஆனால்,but
என்ன,what
சில,some
ஆகிறது,is
அது,it
நீங்கள்,you
அல்லது,or
இருந்தது,had
தி,the
உள்ள,of
செய்ய,to
மற்றும்,and
ஒரு,a
உள்ள,in
நாம்,we
முடியாது,can
வெளியே,out
மற்ற,other
இருந்தன,were
இது,which
செய்,do
தங்கள்,their
நேரம்,time
என்றால்,if
சாப்பிடுவேன்,will
எப்படி,how
என்றார்,said
ஒரு,an
ஒவ்வொரு,each
சொல்ல,tell
இல்லை,does
தொகுப்பு,set
மூன்று,three
வேண்டும்,want
காற்று,air
அதே,well
"மேலும்,",also
விளையாட,play
சிறு,small
இறுதியில்,end
வைத்து,put
வீட்டில்,home
படிக்க,read
கையில்,hand
துறைமுக,port
பெரிய,large
எழுத்துப்பிழை,spell
சேர்க்க,add
கூட,even
நில,land
இங்கே,here
வேண்டும்,must
பெரிய,big
உயர்,high
போன்ற,such
பின்பற்றவும்,follow
செயல்,act
ஏன்,why
கேட்க,ask
ஆண்கள்,men
மாற்றம்,change
சென்றார்,went
ஒளி,light
வகையான,kind
ஆஃப்,off
வேண்டும்,need
வீட்டில்,house
படம்,picture
முயற்சி,try
அமெரிக்க,us
மீண்டும்,again
விலங்கு,animal
புள்ளி,point
அம்மா,mother
உலக,world
அருகில்,near
கட்ட,build
சுய,self
பூமியில்,earth
தந்தை,father
எந்த,any
புதிய,new
பணி,work
பகுதி,part
எடுத்து,take
கிடைக்கும்,get
இடத்தில்,place
செய்து,made
வாழ,live
எங்கே,where
பின்னர்,after
மீண்டும்,back
சிறிய,little
மட்டும்,only
சுற்று,round
மனிதன்,man
ஆண்டு,year
வந்தது,came
நிகழ்ச்சி,show
ஒவ்வொரு,every
நல்ல,good
எனக்கு,me
கொடுக்க,give
எங்கள்,our
கீழ்,under
பெயர்,name
மிகவும்,very
மூலம்,through
வெறும்,just
வடிவம்,form
தண்டனை,sentence
பெரும்,great
என்று,think
சொல்ல,say
உதவும்,help
குறைந்த,low
வரி,line
வேறுபடுகின்றன,differ
இதையொட்டி,turn
காரணம்,cause
மிகவும்,much
அர்த்தம்,mean
முன்னால்,before
நடவடிக்கை,move
வலது,right
சிறுவன்,boy
பழைய,old
மிகவும்,too
அதே,same
அவர்,she
அனைத்து,all
அங்கு,there
எப்போது,when
மேலே,up
பயன்பாடு,use
உங்கள்,your
வழி,way
பற்றி,about
பல,many
பின்னர்,then
அவர்கள்,them
எழுத,write
என்று,would
போன்ற,like
எனவே,so
இவை,these
அவரது,her
நீண்ட,long
செய்ய,make
விஷயம்,thing
பார்க்க,see
அவரை,him
இரு,two
உள்ளது,has
பார்க்க,look
மேலும்,more
நாள்,day
முடியும்,could
போ,go
வா,come
செய்தது,did
பல,number
ஒலி,sound
எந்த,no
மிகவும்,most
மக்கள்,people
என்னுடைய,my
மேல்,over
எனக்கு தெரியும்,know
தண்ணீர்,water
விட,than
அழைப்பு,call
முதல்,first
யார்,who
மே,may
கீழே,down
பக்க,side
வருகிறது,been
இப்பொழுது,now
கண்டுபிடிக்க,find
தலைவர்,head
நிற்க,stand
சொந்த,own
பக்கம்,page
வேண்டும்,should
நாட்டின்,country
காணப்படும்,found
பதில்,answer
பள்ளி,school
வளர,grow
ஆய்வு,study
இன்னும்,still
அறிய,learn
ஆலை,plant
கவர்,cover
உணவு,food
சூரிய,sun
நான்கு,four
இடையே,between
மாநில,state
வைத்து,keep
கண்,eye
ஒருபோதும்,never
கடந்த,last
நாம்,let
நினைத்தேன்,thought
நகரம்,city
மரத்தில்,tree
கடந்து,cross
பண்ணை,farm
கடின,hard
தொடக்கத்தில்,start
வலிமை,might
கதை,story
எண்ணினர்,saw
இதுவரை,far
கடல்,sea
வரைய,draw
விட்டு,left
தாமதமாக,late
ரன்,run
இல்லை,don’t
போது,while
செய்தி,press
நெருங்கிய,close
இரவு,night
உண்மையான,real
வாழ்க்கை,life
சில,few
வடக்கில்,north
புத்தகம்,book
எடுத்து,carry
நடந்தது,took
அறிவியல்,science
சாப்பிட,eat
அறையில்,room
நண்பர்,friend
தொடங்கியது,began
யோசனை,idea
மீன்,fish
மலை,mountain
நிறுத்த,stop
ஒருமுறை,once
அடிப்படை,base
செவி மடுத்து கேள்,hear
குதிரை,horse
வெட்டு,cut
உறுதியான,sure
பார்க்க,watch
வண்ண,color
முகத்தை,face
மரம்,wood
முக்கிய,main
திறந்த,open
தெரியவில்லை,seem
ஒன்றாக,together
அடுத்த,next
வெள்ளை,white
குழந்தைகள்,children
தொடங்கும்,begin
கிடைத்தது,got
நடக்க,walk
உதாரணமாக,example
எளிதாக்க,ease
காகித,paper
குழு,group
எப்போதும்,always
இசை,music
அந்த,those
இரண்டு,both
குறி,mark
பெரும்பாலும்,often
கடிதம்,letter
வரை,until
மைல்,mile
ஆற்றில்,river
கார்,car
அடி,feet
பாதுகாப்பு,care
இரண்டாவது,second
போதுமான,enough
வெற்று,plain
பெண்,girl
வழக்கம்,usual
இளம்,young
தயாராக,ready
மேலே,above
எப்போதும்,ever
"சிவப்பு,",red
பட்டியலில்,list
எனினும்,though
உணர,feel
பேச்சு,talk
பறவை,bird
விரைவில்,soon
உடல்,body
நாய்,dog
குடும்ப,family
நேரடி,direct
போஸ்,pose
விட்டு,leave
பாடல்,song
அளவிட,measure
கதவை,door
தயாரிப்பு,product
கருப்பு,black
குறுகிய,short
எண்,numeral
வர்க்கம்,class
காற்று,wind
கேள்வி,question
நடக்கும்,happen
முழுமையான,complete
கப்பல்,ship
பகுதி,area
அரை,half
ராக்,rock
பொருட்டு,order
தீ,fire
தெற்கு,south
பிரச்சனை,problem
துண்டு,piece
கூறினார்,told
தெரிந்தது,knew
கடந்து,pass
முதல்,since
மேல்,top
முழுவதும்,whole
ராஜா,king
தெருவில்,street
அங்குல,inch
பெருக்கவும்,multiply
எதுவும்,nothing
நிச்சயமாக,course
தங்க,stay
சக்கர,wheel
முழு,full
படை,force
நீல,blue
பொருள்,object
முடிவு,decide
மேற்பரப்பு,surface
ஆழமான,deep
நிலவு,moon
தீவின்,island
கால்,foot
அமைப்பு,system
பிஸியாக,busy
சோதனை,test
பதிவு,record
படகு,boat
பொது,common
தங்க,gold
சாத்தியம்,possible
விமானம்,plane
ஸ்தானத்தில்,stead
உலர்,dry
தெரியவில்லை,wonder
சிரிப்பு,laugh
ஆயிரம்,thousand
முன்பு,ago
ஓடி,ran
பார்க்க,check
விளையாட்டு,game
வடிவம்,shape
சமன்,equate
சூடான,hot
மிஸ்,miss
கொண்டு,brought
வெப்ப,heat
பனி,snow
டயர்,tire
கொண்டு வா,bring
ஆம்,yes
தொலைதூர,distant
நிரப்பவும்,fill
கிழக்கு,east
வண்ணம்,paint
மொழி,language
மத்தியில்,among
அலகு,unit
அதிகாரத்தை,power
நகரம்,town
நன்றாக,fine
நிச்சயமான,certain
பறக்க,fly
விழ,fall
வழிவகுக்கும்,lead
அழ,cry
இருண்ட,dark
இயந்திரம்,machine
குறிப்பு,note
காத்திருக்க,wait
திட்டம்,plan
எண்ணிக்கை,figure
நட்சத்திர,star
பெட்டியில்,box
பெயர்ச்சொல்,noun
துறையில்,field
மீதமுள்ள,rest
சரியான,correct
முடிந்தது,able
பவுண்டு,pound
செய்து,done
அழகு,beauty
இயக்கி,drive
நின்று,stood
கொண்டிருக்கிறது,contain
முன்,front
கற்று,teach
வாரம்,week
இறுதி,final
கொடுத்தது,gave
பச்சை,green
ஓ,oh
விரைவான,quick
அபிவிருத்தி,develop
கடல்,ocean
சூடான,warm
இலவச,free
நிமிடம்,minute
வலுவான,strong
சிறப்பு,special
மனதில்,mind
பின்னால்,behind
தெளிவான,clear
வால்,tail
உற்பத்தி,produce
உண்மை,fact
விண்வெளி,space
கேட்டது,heard
சிறந்த,best
மணி,hour
சிறந்த,better
உண்மை,TRUE
போது,during
நூறு,hundred
ஐந்து,five
நினைவில்,remember
படி,step
ஆரம்ப,early
நடத்த,hold
மேற்கே,west
தரையில்,ground
வட்டி,interest
அடைய,reach
வேகமாக,fast
வினை,verb
பாட,sing
கேட்க,listen
ஆறு,six
அட்டவணை,table
பயண,travel
குறைவான,less
காலையில்,morning
பத்து,ten
எளிமையான,simple
பல,several
உயிர்,vowel
நோக்கி,toward
போர்,war
போட,lay
எதிரான,against
அமைப்பு,pattern
மெதுவாக,slow
சென்டர்,center
காதல்,love
நபர்,person
பணத்தை,money
சேவை,serve
தோன்றும்,appear
சாலை,road
வரைபடத்தை,map
மழை,rain
ஆட்சி,rule
ஆட்சி,govern
இழுக்க,pull
குளிர்,cold
அறிவிப்பு,notice
குரல்,voice
ஆற்றல்,energy
வேட்டை,hunt
சாத்தியமான,probable
படுக்கையில்,bed
சகோதரர்,brother
முட்டை,egg
சவாரி,ride
செல்,cell
நம்பிக்கை,believe
ஒருவேளை,perhaps
எடுக்க,pick
திடீர்,sudden
எண்ண,count
சதுரம்,square
காரணம்,reason
நீளம்,length
பிரதிநிதித்துவம்,represent
கலை,art
பொருள்,subject
பகுதி,region
அளவு,size
மாறுபடுகிறது,vary
குடியேற,settle
பேச,speak
எடை,weight
பொது,general
பனி,ice
விஷயம்,matter
வட்டத்தின்,circle
ஜோடி,pair
சேர்க்கிறது,include
பிளவை,divide
அசையாக,syllable
உணர்ந்தேன்,felt
பெரும்,grand
பந்து,ball
இதுவரை,yet
அலை,wave
கைவிட,drop
இதய,heart
நான்,am
தற்போதைய,present
கனரக,heavy
நடன,dance
இயந்திரம்,engine
நிலையை,position
கை,arm
பரந்த,wide
புறப்பட்டது,sail
பொருள்,material
பகுதி,fraction
காட்டில்,forest
உட்கார,sit
இனம்,race
சாளர,window
கடையில்,store
கோடை,summer
ரயில்,train
தூக்கம்,sleep
நிரூபிக்க,prove
தனி,lone
காலை,leg
உடற்பயிற்சி,exercise
சுவர்,wall
ப,catch
ஏற்ற,mount
விரும்புகிறேன்,wish
வானத்தில்,sky
குழு,board
மகிழ்ச்சி,joy
குளிர்காலத்தில்,winter
சனி,sat
எழுதப்பட்ட,written
காட்டு,wild
கருவி,instrument
வைத்து,kept
கண்ணாடி,glass
புல்,grass
மாடு,cow
வேலை,job
விளிம்பில்,edge
அடையாளம்,sign
வருகை,visit
கடந்த,past
மென்மையான,soft
வேடிக்கை,fun
பிரகாசமான,bright
எரிவாயு,gas
வானிலை,weather
மாதம்,month
மில்லியன்,million
தாங்க,bear
பூச்சு,finish
சந்தோஷமாக,happy
நம்பிக்கை,hope
மலர்,flower
உடை,clothe
விசித்திரமான,strange
சென்று,gone
வர்த்தக,trade
மெல்லிசை,melody
பயணம்,trip
அலுவலகத்தில்,office
பெற,receive
வரிசையில்,row
வாயில்,mouth
துல்லியமான,exact
சின்னம்,symbol
இறக்க,die
குறைந்தது,least
சிக்கல்,trouble
கத்தி,shout
"தவிர,",except
எழுதியது,wrote
விதை,seed
தொனி,tone
சேர,join
பரிந்துரைக்கிறது,suggest
சுத்தமான,clean
இடைவெளி,break
பெண்,lady
முற்றத்தில்,yard
உயரும்,rise
கெட்ட,bad
அடியாக,blow
எண்ணெய்,oil
இரத்த,blood
தொட,touch
வளர்ந்தது,grew
சதவீதம்,cent
கலந்து,mix
அணி,team
கம்பி,wire
செலவு,cost
இழந்தது,lost
பழுப்பு,brown
அணிய,wear
தோட்டத்தில்,garden
சம,equal
அனுப்பி,sent
தேர்வு,choose
விழுந்தது,fell
பொருந்தும்,fit
பாயும்,flow
நியாயமான,fair
வங்கி,bank
சேகரிக்க,collect
காப்பாற்ற,save
கட்டுப்பாடு,control
தசம,decimal
காது,ear
வேறு,else
மிகவும்,quite
வெடித்தது,broke
வழக்கு,case
நடுத்தர,middle
கொலை,kill
மகன்,son
ஏரியில்,lake
கணம்,moment
அளவில்,scale
உரத்த,loud
வசந்த,spring
அவதானிக்கவும்,observe
குழந்தை,child
நேராக,straight
மெய்,consonant
தேசிய,nation
அகராதியில்,dictionary
பால்,milk
வேக,speed
முறை,method
உறுப்பு,organ
செலுத்த,pay
வயது,age
பிரிவில்,section
ஆடை,dress
மேகம்,cloud
ஆச்சரியம்,surprise
அமைதியான,quiet
கல்,stone
சிறிய,tiny
ஏறு மெதுவாக தொற்றி ஏறு,climb
குளிர்,cool
வடிவமைப்பு,design
ஏழை,poor
நிறைய,lot
சோதனை,experiment
கீழே,bottom
முக்கிய,key
இரும்பு,iron
ஒற்றை,single
குச்சி,stick
பிளாட்,flat
இருபத்தி,twenty
தோல்,skin
சிரிப்பு,smile
மடி,crease
ஓட்டை,hole
குதிக்க,jump
குழந்தை,baby
எட்டு,eight
கிராமம்,village
சந்திக்க,meet
ரூட்,root
வாங்க,buy
உயர்த்த,raise
தீர்க்க,solve
உலோக,metal
என்பதை,whether
மிகுதி,push
ஏழு,seven
பத்தி,paragraph
மூன்றாவது,third
போகலாமா,shall
நானும்,held
முடி,hair
விவரிக்க,describe
சமையற்காரர்,cook
தரையில்,floor
ஒன்று,either
இதன் விளைவாக,result
எரிக்க,burn
மலை,hill
பாதுகாப்பான,safe
பூனை,cat
நூற்றாண்டின்,century
கருத்தில்,consider
வகை,type
சட்ட,law
பிட்,bit
கடற்கரையில்,coast
பிரதியை,copy
சொற்றொடர்,phrase
அமைதியாக,silent
உயரம்,tall
மணல்,sand
மண்,soil
ரோல்,roll
வெப்பநிலை,temperature
விரல்,finger
தொழில்,industry
மதிப்பு,value
சண்டை,fight
பொய்யை,lie
அடிக்க,beat
தூண்ட,excite
இயற்கை,natural
பார்வை,view
உணர்வு,sense
தலைநகர்,capital
இல்லை,won’t
நாற்காலியில்,chair
ஆபத்து,danger
பழம்,fruit
பணக்கார,rich
தடித்த,thick
சிப்பாய்,soldier
செயல்முறை,process
செயல்பட,operate
நடைமுறையில்,practice
தனி,separate
கடினமான,difficult
மருத்துவர்,doctor
தயவு செய்து,please
காப்பாற்று,protect
நண்பகல்,noon
பயிர்,crop
நவீன,modern
உறுப்பு,element
வெற்றி,hit
மாணவர்,student
மூலையில்,corner
கட்சி,party
வழங்கல்,supply
அதன்,whose
கண்டறிவது,locate
மோதிரத்தை,ring
பாத்திரம்,character
பூச்சி,insect
பிடித்து,caught
காலம்,period
குறிக்கிறது,indicate
ரேடியோ,radio
பேசினார்,spoke
அணுவின்,atom
மனித,human
வரலாற்றில்,history
விளைவு,effect
மின்சார,electric
எதிர்பார்க்க,expect
எலும்பு,bone
ரயில்,rail
கற்பனை,imagine
எப்படி,provide
ஒப்புக்கொள்கிறேன்,agree
இவ்வாறு,thus
மென்மையான,gentle
பெண்,woman
கேப்டன்,captain
யூகிக்க,guess
தேவையான,necessary
கூர்மையான,sharp
வலதுசாரி,wing
உருவாக்க,create
அண்டை,neighbor
கழுவும்,wash
பேட்டிங்,bat
மாறாக,rather
கூட்டத்தில்,crowd
சோளம்,corn
ஒப்பிட்டு,compare
கவிதையை,poem
சரம்,string
மணி,bell
சார்ந்திருக்கிறது,depend
இறைச்சி,meat
துடைப்பான்,rub
குழாய்,tube
பிரபலமான,famous
டாலர்,dollar
ஸ்ட்ரீம்,stream
பயம்,fear
பார்வை,sight
மெல்லிய,thin
முக்கோண,triangle
கிரகத்தின்,planet
அவசரம்,hurry
தலைமை,chief
காலனி,colony
கடிகார,clock
என்னுடைய,mine
டை,tie
நுழைய,enter
முக்கிய,major
புதிய,fresh
தேடல்,search
அனுப்பு,send
மஞ்சள்,yellow
துப்பாக்கி,gun
அனுமதிக்க,allow
அச்சு,print
இறந்த,dead
ஸ்பாட்,spot
பாலைவன,desert
வழக்கு,suit
நடப்பு,current
லிப்ட்,lift
உயர்ந்தது,rose
வரும்,arrive
மாஸ்டர்,master
பாடல்,track
பெற்றோர்,parent
கரையில்,shore
பிரிவு,division
தாள்,sheet
பொருள்,substance
சாதகமாக,favor
இணைக்க,connect
பின்,post
செலவு,spend
நாண்,chord
கொழுப்பு,fat
மகிழ்ச்சி,glad
அசல்,original
பங்கு,share
நிலையம்,station
தந்தை,dad
ரொட்டி,bread
வசூலிக்க,charge
முறையான,proper
பட்டியில்,bar
வாய்ப்பை,offer
பிரிவு,segment
அடிமை,slave
மூழ்கு,duck
உடனடி,instant
சந்தை,market
பட்டம்,degree
விரிவுப்படுத்த,populate
குஞ்சு,chick
அன்பே,dear
பகைவன்,enemy
பதில்,reply
பானம்,drink
ஏற்படும்,occur
ஆதரவு,support
பேச்சு,speech
இயற்கையின்,nature
எல்லை,range
நீராவி,steam
இயக்கம்,motion
பாதை,path
திரவ,liquid
புகுபதிகை,log
பொருள்,meant
ஈவு,quotient
பற்கள்,teeth
ஷெல்,shell
கழுத்தில்,neck
ஆக்சிஜன்,oxygen
சர்க்கரை,sugar
மரணம்,death
அழகான,pretty
திறன்,skill
பெண்கள்,women
சீசன்,season
தீர்வு,solution
கிரேடு,magnet
வெள்ளி,silver
நன்றி,thank
கிளை,branch
போட்டியில்,match
மை,suffix
குறிப்பாக,especially
அத்தி,fig
பயம்,afraid
பிரம்மாண்டமான,huge
அக்கா,sister
உருக்கு,steel
விவாதிக்க,discuss
முன்னோக்கி,forward
இதே,similar
வழிகாட்ட,guide
அனுபவம்,experience
மதிப்பெண்,score
ஆப்பிள்,apple
வாங்கி,bought
தலைமையிலான,led
சுருதி,pitch
கோட்,coat
வெகுஜன,mass
கார்டு,card
இசைக்குழு,band
கயிற்றில்,rope
சீட்டு,slip
வெற்றி,win
கனவு,dream
மாலை,evening
நிலை,condition
ஜூன்,feed
கருவி,tool
மொத்த,total
அடிப்படை,basic
மணம்,smell
பள்ளத்தாக்கில்,valley
அல்லது,nor
இரட்டை,double
இருக்கை,seat
தொடர்ந்து,continue
